"Time Frame","Date","Ta (°C)","Tm (°C)","I3 (W/m2)","I15 (W/m2)","P (kW)","","",""
"9","3/10/12 9:54 AM","13.80583333333333","16.53533333333333","297.6635000000001","303.0514999999999","274.6200833333334","","",""
"10","3/10/12 10:54 AM","14.35316666666667","17.20733333333333","269.1266666666667","266.6973333333333","245.2360166666667","","",""
"11","3/10/12 11:54 AM","13.93083333333333","16.08683333333333","240.9438333333333","242.5931666666666","225.77595","","",""
"12","3/10/12 12:54 PM","13.58683333333333","15.60566666666667","329.4790000000001","334.1105","295.2982666666667","","",""
"13","3/10/12 1:54 PM","13.9785","16.4025","329.2295","344.7521666666667","305.8008666666665","","",""
"14","3/10/12 2:54 PM","14.2255","17.27316666666667","167.085","174.0936666666666","148.75665","","",""
"15","3/10/12 3:54 PM","13.556","14.7125","63.49350000000002","63.48166666666668","52.81450000000002","","",""
"16","3/10/12 4:54 PM","12.87233333333333","12.77266666666667","14.282","14.29516666666666","10.20686666666666","","",""
"17","3/10/12 5:54 PM","12.48683333333333","11.73483333333333","0","0","0","","",""
"18","3/10/12 6:54 PM","12.24666666666667","11.14483333333333","0","0","0","","",""
"19","3/10/12 7:54 PM","11.81116666666667","10.68316666666666","0","0","0","","",""
"20","3/10/12 8:54 PM","11.31","9.655166666666666","0","0","0","","",""
"21","3/10/12 9:44 PM","11.2742","9.4468","0","0","0","","",""
"22","0","0","0","0","0","0","","",""
"23","0","0","0","0","0","0","","",""
"24","0","0","0","0","0","0","","",""
"1","0","0","0","0","0","0","","",""
"2","0","0","0","0","0","0","","",""
"3","0","0","0","0","0","0","","",""
"4","3/11/12 4:54 AM","11.496","10.06216666666667","0","0","0","","",""
"5","3/11/12 5:54 AM","11.27633333333333","9.783333333333333","13.93283333333333","14.21516666666667","8.6707","","",""
"6","3/11/12 6:54 AM","11.2915","9.934333333333333","115.4028333333333","118.3071666666667","98.52168333333331","","",""
"7","3/11/12 7:54 AM","12.17783333333333","12.641","215.1973333333334","224.7876666666666","182.70495","","",""
"8","3/11/12 8:54 AM","13.12433333333333","14.67","254.5703333333334","282.1185","231.3462666666667","","",""
"9","3/11/12 9:54 AM","13.153","15.07383333333333","290.7703333333333","324.0941666666666","265.0219499999999","","",""
"10","3/11/12 10:54 AM","13.1975","15.312","401.5038333333335","441.2466666666668","356.9030166666666","","",""
"11","3/11/12 11:54 AM","13.69483333333333","17.548","350.7255000000001","368.2588333333333","323.9723833333334","","",""
"12","3/11/12 12:54 PM","13.668","16.78333333333333","431.3426666666666","474.9300000000001","389.5827999999999","","",""
"13","3/11/12 1:54 PM","13.61733333333333","17.164","491.0488333333333","530.0405","442.8815500000001","","",""
"14","3/11/12 2:54 PM","13.94333333333334","18.123","375.8246666666666","401.1526666666665","321.9359666666667","","",""
"15","3/11/12 3:54 PM","13.83283333333333","16.093","174.3124999999999","176.7958333333333","140.0211499999999","","",""
"16","3/11/12 4:54 PM","13.18533333333333","13.55","23.23283333333334","24.06749999999999","16.83674999999999","","",""
"17","3/11/12 5:54 PM","11.96633333333334","10.28183333333333","0","0","0","","",""
"18","3/11/12 6:54 PM","11.1155","8.866333333333332","0","0","0","","",""
"19","3/11/12 7:54 PM","11.1585","9.159000000000001","0","0","0","","",""
"20","3/11/12 8:54 PM","11.27883333333333","9.520999999999999","0","0","0","","",""
"21","3/11/12 9:44 PM","10.7432","7.8714","0","0","0","","",""
"22","0","0","0","0","0","0","","",""
"23","0","0","0","0","0","0","","",""
"24","0","0","0","0","0","0","","",""
"1","0","0","0","0","0","0","","",""
"2","0","0","0","0","0","0","","",""
"3","0","0","0","0","0","0","","",""
"4","3/12/12 4:54 AM","10.8665","9.964399999999999","0","0","0.0018","","",""
"5","3/12/12 5:54 AM","10.14116666666667","9.283499999999998","19.06666666666667","26.09283333333333","13.01783333333333","","",""
"6","3/12/12 6:54 AM","9.417666666666667","8.447833333333334","69.88966666666667","73.43383333333334","57.68868333333334","","",""
"7","3/12/12 7:54 AM","8.883000000000001","8.640500000000001","131.4936666666666","132.4995","108.9335333333333","","",""
"8","3/12/12 8:54 AM","9.428166666666668","9.720166666666666","201.592","225.2333333333334","160.75475","","",""
"9","3/12/12 9:54 AM","10.10133333333333","10.97133333333333","587.1931666666666","594.4573333333333","485.9876666666665","","",""
"10","3/12/12 10:54 AM","11.97016666666667","17.85916666666667","807.9158333333334","763.5216666666671","719.1340333333332","","",""
"11","3/12/12 11:54 AM","12.35816666666667","20.2385","787.2434999999997","665.3423333333332","746.1410833333334","","",""
"12","3/12/12 12:54 PM","12.622","19.967","725.2243333333334","806.4678333333335","633.8336833333334","","",""
"13","3/12/12 1:54 PM","12.737","19.15733333333333","584.8124999999998","639.8386666666668","528.6410833333332","","",""
"14","3/12/12 2:54 PM","12.70966666666667","17.93166666666666","419.0066666666666","438.9435","355.9494833333334","","",""
"15","3/12/12 3:54 PM","12.54933333333334","15.138","180.4086666666666","181.1155","127.8001","","",""
"16","3/12/12 4:54 PM","11.54466666666667","11.816","34.56233333333331","35.23233333333332","21.79741666666667","","",""
"17","3/12/12 5:54 PM","10.5455","9.314166666666667","0","0","0.01661666666666667","","",""
"18","3/12/12 6:54 PM","9.782500000000001","7.764833333333333","0","0","0","","",""
"19","3/12/12 7:54 PM","9.823333333333334","7.760666666666668","0","0","0","","",""
"20","3/12/12 8:54 PM","9.988166666666666","8.161833333333332","0","0","0","","",""
